MISSING_CANDIDATE	万	ま	4
	T	ひる	午	ひる
	T	ひる	午すぎ	ひるすぎ
	T	ひる	午過ぎ	ひるすぎ
MISSING_CANDIDATE	半	ぱん	5
	T	ぱん	一半	いっぱん
	T	ぱん	前半	ぜんぱん
	T	ぱん	前半戦	ぜんぱんせん
	T	ぱん	南半	なんぱん
	T	ぱん	折半	せっぱん
MISSING_CANDIDATE	原	ら	15
	T	ら	川原	かわら
	T	ら	川原松葉	かわらまつば
	T	ら	川原毛	かわらげ
	T	ら	川原鶸	かわらひわ
	T	ら	河原	かわら
MISSING_CANDIDATE	原	わら	20
	T	わら	アシ原	あしわら
	T	わら	ササ原	ささわら
	T	わら	ヨシ原	よしわら
	T	わら	吉原細見	よしわらさいけん
	T	わら	吉原言葉	よしわらことば
MISSING_CANDIDATE	合	あわ	200
	T	あわ	あり合せ	ありあわせ
	T	あわ	お問い合せ	おといあわせ
	T	あわ	お問い合せフォーム	おといあわせふぉーむ
	T	あわ	お問い合せ番号	おといあわせばんごう
	T	あわ	お問合せ	おといあわせ
MISSING_CANDIDATE	合	あわせ	8
	T	あわせ	問合	といあわせ
	T	あわせ	問合先	といあわせさき
	T	あわせ	問合窓口	といあわせまどぐち
	T	あわせ	歌合	うたあわせ
	T	あわせ	物合	ものあわせ
MISSING_CANDIDATE	合	が	7
	T	が	一人合点	ひとりがてん
	T	が	合点	がてん
	T	が	合点がいく	がてんがいく
	T	が	合点が行く	がてんがいく
	T	が	合点が行く	がてんがゆく
MISSING_CANDIDATE	回	まわし	3
	T	まわし	小取回	ことりまわし
	T	まわし	小取回	こどりまわし
	T	まわし	着回	きまわし
MISSING_CANDIDATE	回	まわり	4
	T	まわり	回縁	まわりえん
	T	まわり	回縁	まわりぶち
	T	まわり	配当利回	はいとうりまわり
	T	まわり	馬回	うままわり
MISSING_CANDIDATE	回	めぐ	6
	T	めぐ	回らす	めぐらす
	T	めぐ	回り合い	めぐりあい
	T	めぐ	回り合う	めぐりあう
	T	めぐ	回る	めぐる
	T	めぐ	堂堂回り	どうどうめぐり
MISSING_CANDIDATE	園	おん	4
	T	おん	田園	でんおん
	T	おん	祇園会	ぎおんえ
	T	おん	祇園祭	ぎおんまつり
	T	おん	祇園祭り	ぎおんまつり
MISSING_CANDIDATE	園	ぞの	4
	T	ぞの	桃園	ももぞの
	T	ぞの	梅園	うめぞの
	T	ぞの	花園	はなぞの
	T	ぞの	花園大学	はなぞのだいがく
MISSING_CANDIDATE	地	つち	3
	T	つち	地	つち
	T	つち	地蛍	つちぼたる
	T	つち	天地	あめつち
MISSING_CANDIDATE	売	うれ	3
	T	うれ	売残り	うれのこり
	T	うれ	売行	うれゆき
	T	うれ	売行き	うれゆき
MISSING_CANDIDATE	売	め	4
	T	め	比売知	ひめじ
	T	め	比売神	ひめかみ
	T	め	比売神	ひめがみ
	T	め	非売知	ひめじ
MISSING_CANDIDATE	外	け	4
	T	け	外連	けれん
	T	け	外連味	けれんみ
	T	け	道外	どうけ
	T	け	道外方	どうけがた
MISSING_CANDIDATE	外	ぱず	3
	T	ぱず	とっ外れ	とっぱずれ
	T	ぱず	突外れ	とっぱずれ
	T	ぱず	調子っ外れ	ちょうしっぱずれ
MISSING_CANDIDATE	多	だ	3
	T	だ	本多髷	ほんだまげ
	T	だ	柳多留	やなぎだる
	T	だ	誹風柳多留	はいふうやなぎだる
MISSING_CANDIDATE	妹	いも	5
	T	いも	妹	いも
	T	いも	妹君	いもぎみ
	T	いも	妹背	いもせ
	T	いも	妹背鳥	いもせどり
	T	いも	継妹	ままいも
MISSING_CANDIDATE	妹	だい	5
	T	だい	兄妹	きょうだい
	T	だい	兄妹げんか	きょうだいげんか
	T	だい	兄妹交配	きょうだいこうはい
	T	だい	兄妹喧嘩	きょうだいげんか
	T	だい	兄妹愛	きょうだいあい
MISSING_CANDIDATE	姉	ねえ	25
	T	ねえ	お天気お姉さん	おてんきおねえさん
	T	ねえ	お姉	おねえ
	T	ねえ	お姉さん	おねえさん
	T	ねえ	お姉さんパンツ	おねえさんぱんつ
	T	ねえ	お姉さん座り	おねえさんすわり
MISSING_CANDIDATE	家	が	4
	T	が	かくれ家	かくれが
	T	が	山家	やまが
	T	が	山家者	やまがもの
	T	が	隠れ家	かくれが
MISSING_CANDIDATE	家	ち	12
	T	ち	あたしん家	あたしんち
	T	ち	うちん家	うちんち
	T	ち	ん家	んち
	T	ち	アタシん家	あたしんち
	T	ち	オレん家	おれんち
MISSING_CANDIDATE	少	おと	6
	T	おと	さぶる少女	さぶるおとめ
	T	おと	天つ少女	あまつおとめ
	T	おと	少女	おとめ
	T	おと	少女子	おとめご
	T	おと	少女心	おとめごころ
MISSING_CANDIDATE	少	ずく	3
	T	ずく	ことば少な	ことばずくな
	T	ずく	残り少な	のこりずくな
	T	ずく	言葉少な	ことばずくな
MISSING_CANDIDATE	工	たくみ	3
	T	たくみ	工	たくみ
	T	たくみ	飛騨の工	ひだのたくみ
	T	たくみ	飛騨工	ひだたくみ
MISSING_CANDIDATE	弓	ゆ	9
	T	ゆ	弓	ゆ
	T	ゆ	弓はず	ゆはず
	T	ゆ	弓場	ゆば
	T	ゆ	弓場始め	ゆばはじめ
	T	ゆ	弓庭	ゆにわ
MISSING_CANDIDATE	引	ひっ	31
	T	ひっ	引切りなし	ひっきりなし
	T	ひっ	引切りなしに	ひっきりなしに
	T	ひっ	引切り無し	ひっきりなし
	T	ひっ	引切り無しに	ひっきりなしに
	T	ひっ	引切無し	ひっきりなし
MISSING_CANDIDATE	弟	おと	10
	T	おと	弟	おと
	T	おと	弟切草	おとぎりそう
	T	おと	弟切草属	おとぎりそうぞく
	T	おと	弟切草目	おとぎりそうもく
	T	おと	弟切草科	おとぎりそうか
MISSING_CANDIDATE	当	あた	79
	T	あた	さし当って	さしあたって
	T	あた	シチョウ当り	しちょうあたり
	T	あた	バカ当り	ばかあたり
	T	あた	バチ当り	ばちあたり
	T	あた	一個当り	いっこあたり
MISSING_CANDIDATE	当	あたり	4
	T	あたり	坪当	つぼあたり
	T	あたり	当木	あたりぎ
	T	あたり	当棒	あたりぼう
	T	あたり	日当	ひあたり
MISSING_CANDIDATE	後	ごう	3
	T	ごう	事後ジャーナル化	じごうじゃーなるか
	T	ごう	印字後行送り	いんじごうこうおくり
	T	ごう	肛後尾	こうごうび
MISSING_CANDIDATE	後	しり	6
	T	しり	後	しり
	T	しり	後え	しりえ
	T	しり	後目	しりめ
	T	しり	後輪	しりわ
	T	しり	後込み	しりごみ
MISSING_CANDIDATE	心	うら	6
	T	うら	心さびしい	うらさびしい
	T	うら	心さみしい	うらさみしい
	T	うら	心寂しい	うらさびしい
	T	うら	心寂しい	うらさみしい
	T	うら	心淋しい	うらさびしい
MISSING_CANDIDATE	心	ここ	12
	T	ここ	住み心地	すみここち
	T	ここ	天にも昇る心地	てんにものぼるここち
	T	ここ	心地	ここち
	T	ここ	心地いい	ここちいい
	T	ここ	心地よい	ここちよい
MISSING_CANDIDATE	心	ごこ	40
	T	ごこ	かけ心地	かけごこち
	T	ごこ	一心地	ひとごこち
	T	ごこ	乗り心地	のりごこち
	T	ごこ	乗心地	のりごこち
	T	ごこ	人心地	ひとごこち
MISSING_CANDIDATE	思	おぼし	5
	T	おぼし	思召	おぼしめし
	T	おぼし	思召し	おぼしめし
	T	おぼし	思召す	おぼしめす
	T	おぼし	神の思召	かみのおぼしめし
	T	おぼし	神の思召し	かみのおぼしめし
MISSING_CANDIDATE	教	ぎょう	4
	T	ぎょう	三教	さんぎょう
	T	ぎょう	伝教	でんぎょう
	T	ぎょう	聖教	しょうぎょう
	T	ぎょう	顕教	けんぎょう
MISSING_CANDIDATE	新	さら	4
	T	さら	新	さら
	T	さら	新地	さらち
	T	さら	新湯	さらゆ
	T	さら	真っ新	まっさら
MISSING_CANDIDATE	方	はこ	3
	T	はこ	ノアの方舟	のあのはこぶね
	T	はこ	ノアの方舟貝	のあのはこぶねがい
	T	はこ	方舟	はこぶね
MISSING_CANDIDATE	明	めん	6
	T	めん	からし明太子	からしめんたいこ
	T	めん	川明太	かわめんたい
	T	めん	明太	めんたい
	T	めん	明太子	めんたいこ
	T	めん	辛子明太子	からしめんたいこ
MISSING_CANDIDATE	星	じょう	5
	T	じょう	夜明けの明星	よあけのみょうじょう
	T	じょう	宵の明星	よいのみょうじょう
	T	じょう	明けの明星	あけのみょうじょう
	T	じょう	明の明星	あけのみょうじょう
	T	じょう	明星	みょうじょう
MISSING_CANDIDATE	春	とう	3
	T	とう	春坊	とうぼう
	T	とう	春宮	とうぐう
	T	とう	春宮坊	とうぐうぼう
MISSING_CANDIDATE	時	し	3
	T	し	大時化	おおしけ
	T	し	時化	しけ
	T	し	時化る	しける
MISSING_CANDIDATE	時	と	25
	T	と	からくり時計	からくりとけい
	T	と	世界終末時計	せかいしゅうまつとけい
	T	と	反時計回り	はんとけいまわり
	T	と	時計	とけい
	T	と	時計じかけ	とけいじかけ
MISSING_CANDIDATE	時	ど	49
	T	ど	うで時計	うでどけい
	T	ど	からくり時計	からくりどけい
	T	ど	はと時計	はとどけい
	T	ど	ぼんぼん時計	ぼんぼんどけい
	T	ど	アナログ時計	あなろぐどけい
MISSING_CANDIDATE	晴	はら	3
	T	はら	見晴し	みはらし
	T	はら	見晴し台	みはらしだい
	T	はら	見晴す	みはらす
MISSING_CANDIDATE	晴	ばら	4
	T	ばら	念晴し	ねんばらし
	T	ばら	憂さ晴し	うさばらし
	T	ばら	気晴し	きばらし
	T	ばら	素晴しい	すばらしい
MISSING_CANDIDATE	朝	あした	8
	T	あした	あくる朝	あくるあした
	T	あした	年の朝	としのあした
	T	あした	後の朝	のちのあした
	T	あした	明くる朝	あくるあした
	T	あした	朝	あした
MISSING_CANDIDATE	来	か	3
	T	か	仕出来す	しでかす
	T	か	出来した	でかした
	T	か	出来す	でかす
MISSING_CANDIDATE	東	あずま	18
	T	あずま	東	あずま
	T	あずま	東コート	あずまこーと
	T	あずま	東一華	あずまいちげ
	T	あずま	東下り	あずまくだり
	T	あずま	東下駄	あずまげた
MISSING_CANDIDATE	東	あづま	3
	T	あづま	東	あづま
	T	あづま	東コート	あづまこーと
	T	あづま	東鑑	あづまかがみ
MISSING_CANDIDATE	楽	ら	19
	T	ら	カントリー倶楽部	かんとりーくらぶ
	T	ら	ゴルフ倶楽部	ごるふくらぶ
	T	ら	ジャズ倶楽部	じゃずくらぶ
	T	ら	ジャーナル倶楽部	じゃーなるくらぶ
	T	ら	スポーツ倶楽部	すぽーつくらぶ
MISSING_CANDIDATE	止	とま	4
	T	とま	止り木	とまりぎ
	T	とま	止る	とまる
	T	とま	立ち止る	たちとまる
	T	とま	立止る	たちとまる
MISSING_CANDIDATE	止	どま	11
	T	どま	当駅止り	とうえきどまり
	T	どま	止り	どまり
	T	どま	歩止り	ぶどまり
	T	どま	立ち止る	たちどまる
	T	どま	立止る	たちどまる
MISSING_CANDIDATE	歩	あし	5
	T	あし	並み歩	なみあし
	T	あし	繋駕速歩競走	けいがはやあしきょうそう
	T	あし	軽速歩	けいはやあし
	T	あし	速歩	はやあし
	T	あし	駈歩	かけあし
MISSING_CANDIDATE	母	おも	10
	T	おも	ひさしを貸して母屋をとられる	ひさしをかしておもやをとられる
	T	おも	ひさしを貸して母屋を取られる	ひさしをかしておもやをとられる
	T	おも	乳母	ちおも
	T	おも	呉の母	くれのおも
	T	おも	庇を貸して母屋をとられる	ひさしをかしておもやをとられる
MISSING_CANDIDATE	母	おや	6
	T	おや	母娘	おやこ
	T	おや	母娘どんぶり	おやこどんぶり
	T	おや	母娘丼	おやこどん
	T	おや	母娘丼	おやこどんぶり
	T	おや	母子	おやこ
MISSING_CANDIDATE	母	か	3
	T	か	おっ母さん	おっかさん
	T	か	お母ん	おかん
	T	か	御っ母さん	おっかさん
MISSING_CANDIDATE	母	かあ	15
	T	かあ	お母	おかあ
	T	かあ	お母さま	おかあさま
	T	かあ	お母さん	おかあさん
	T	かあ	お母さんっ子	おかあさんっこ
	T	かあ	お母さんコーラス	おかあさんこーらす
MISSING_CANDIDATE	母	ば	4
	T	ば	小母	おば
	T	ば	小母さん	おばさん
	T	ば	小母ちゃん	おばちゃん
	T	ば	緑の小母さん	みどりのおばさん
MISSING_CANDIDATE	活	いき	7
	T	いき	活じめ	いきじめ
	T	いき	活人形	いきにんぎょう
	T	いき	活作り	いきづくり
	T	いき	活締め	いきしめ
	T	いき	活締め	いきじめ
MISSING_CANDIDATE	海	うな	7
	T	うな	大海原	おおうなばら
	T	うな	海原	うなはら
	T	うな	海原	うなばら
	T	うな	海坂	うなさか
	T	うな	海底	うなぞこ
MISSING_CANDIDATE	点	て	4
	T	て	お点前	おてまえ
	T	て	御点前	おてまえ
	T	て	炭点前	すみてまえ
	T	て	点前	てまえ
MISSING_CANDIDATE	父	じ	17
	T	じ	地震雷火事親父	じしんかみなりかじおやじ
	T	じ	小父	おじ
	T	じ	小父さま	おじさま
	T	じ	小父さん	おじさん
	T	じ	小父ちゃん	おじちゃん
MISSING_CANDIDATE	父	てて	8
	T	てて	父	てて
	T	てて	父じゃ人	ててじゃひと
	T	てて	父なし子	ててなしご
	T	てて	父御	ててご
	T	てて	父母	ててはは
MISSING_CANDIDATE	父	とう	12
	T	とう	お父	おとう
	T	とう	お父さま	おとうさま
	T	とう	お父さん	おとうさん
	T	とう	お父さんっ子	おとうさんっこ
	T	とう	お父さん子	おとうさんこ
MISSING_CANDIDATE	父	とっ	5
	T	とっ	お父さん	おとっさん
	T	とっ	御父さん	おとっさん
	T	とっ	御父つぁん	おとっつぁん
	T	とっ	御父つあん	おとっつあん
	T	とっ	父ちゃん	とっちゃん
MISSING_CANDIDATE	父	ぶ	5
	T	ぶ	家父入	やぶいり
	T	ぶ	父母	ぶも
	T	ぶ	父王	ぶおう
	T	ぶ	祖父	そぶ
	T	ぶ	親父	しんぶ
MISSING_CANDIDATE	牛	うじ	8
	T	うじ	乳牛	ちうじ
	T	うじ	仔牛	こうじ
	T	うじ	子牛	こうじ
	T	うじ	小牛	こうじ
	T	うじ	母牛	ははうじ
MISSING_CANDIDATE	牛	ご	21
	T	ご	きんぴら牛蒡	きんぴらごぼう
	T	ご	たたき牛蒡	たたきごぼう
	T	ご	叩き牛蒡	たたきごぼう
	T	ご	土牛蒡	つちごぼう
	T	ご	洋種山牛蒡	ようしゅやまごぼう
MISSING_CANDIDATE	理	め	3
	T	め	肌理	きめ
	T	め	肌理細か	きめこまか
	T	め	肌理細かい	きめこまかい
MISSING_CANDIDATE	直	すぐ	4
	T	すぐ	直刃	すぐは
	T	すぐ	直路	すぐみち
	T	すぐ	真っ直	まっすぐ
	T	すぐ	真直	ますぐ
MISSING_CANDIDATE	直	ひた	13
	T	ひた	直	ひた
	T	ひた	直と	ひたと
	T	ひた	直向き	ひたむき
	T	ひた	直垂	ひたたれ
	T	ひた	直押しに	ひたおしに
MISSING_CANDIDATE	秋	あい	3
	T	あい	川秋沙	かわあいさ
	T	あい	海秋沙	うみあいさ
	T	あい	秋沙	あいさ
MISSING_CANDIDATE	科	しな	8
	T	しな	保科美術館	ほしなびじゅつかん
	T	しな	更科升麻	さらしなしょうま
	T	しな	更科粉	さらしなこ
	T	しな	科	しな
	T	しな	科の木	しなのき
MISSING_CANDIDATE	科	とが	3
	T	とが	科	とが
	T	とが	科人	とがにん
	T	とが	科料	とがりょう
MISSING_CANDIDATE	米	め	11
	T	め	久留米大	くるめだい
	T	め	久留米大学	くるめだいがく
	T	め	久留米工業大学	くるめこうぎょうだいがく
	T	め	久米歌	くめうた
	T	め	五真米	ごまめ
MISSING_CANDIDATE	紙	こ	3
	T	こ	紙撚	こより
	T	こ	紙撚り	こより
	T	こ	紙縒り	こより
MISSING_CANDIDATE	細	いさ	4
	T	いさ	細小	いささ
	T	いさ	細小小川	いささおがわ
	T	いさ	細小小笹	いささおざさ
	T	いさ	細小川	いささがわ
MISSING_CANDIDATE	細	ささ	6
	T	ささ	細	ささ
	T	ささ	細やか	ささやか
	T	ささ	細ら	ささら
	T	ささ	細ら形	ささらがた
	T	ささ	細波	ささなみ
MISSING_CANDIDATE	細	さざ	6
	T	さざ	細	さざ
	T	さざ	細ら	さざら
	T	さざ	細れ	さざれ
	T	さざ	細れ波	さざれなみ
	T	さざ	細れ石	さざれいし
MISSING_CANDIDATE	細	さざれ	3
	T	さざれ	細	さざれ
	T	さざれ	細波	さざれなみ
	T	さざれ	細石	さざれいし
MISSING_CANDIDATE	細	じ	3
	T	じ	亜細亜	あじあ
	T	じ	亜細亜大	あじあだい
	T	じ	亜細亜大学	あじあだいがく
MISSING_CANDIDATE	絵	えの	5
	T	えの	アクリル絵具	あくりるえのぐ
	T	えの	岩絵具	いわえのぐ
	T	えの	水彩絵具	すいさいえのぐ
	T	えの	油絵具	あぶらえのぐ
	T	えの	絵具	えのぐ
MISSING_CANDIDATE	線	しん	3
	T	しん	三線	さんしん
	T	しん	唄三線	うたさんしん
	T	しん	歌三線	うたさんしん
MISSING_CANDIDATE	聞	きこ	6
	T	きこ	聞え	きこえ
	T	きこ	聞えよがし	きこえよがし
	T	きこ	聞える	きこえる
	T	きこ	聞ゆ	きこゆ
	T	きこ	聞ゆる	きこゆる
MISSING_CANDIDATE	肉	じし	5
	T	じし	乾肉	ほじし
	T	じし	太り肉	ふとりじし
	T	じし	干肉	ほじし
	T	じし	痩せ肉	やせじし
	T	じし	痩肉	やせじし
MISSING_CANDIDATE	自	うぬ	3
	T	うぬ	自惚れ	うぬぼれ
	T	うぬ	自惚れる	うぬぼれる
	T	うぬ	自惚れ鏡	うぬぼれかがみ
MISSING_CANDIDATE	自	おのずか	3
	T	おのずか	桃李もの言わざれども下自ら蹊を成す	とうりものいわざれどもしたおのずからみちをなす
	T	おのずか	桃李物言わざれども下自ら蹊を成す	とうりものいわざれどもしたおのずからみちをなす
	T	おのずか	自ら	おのずから
MISSING_CANDIDATE	行	いっ	3
	T	いっ	行きなり	いっきなり
	T	いっ	行き成	いっきなり
	T	いっ	行き成り	いっきなり
MISSING_CANDIDATE	西	すい	4
	T	すい	種なし西瓜	たねなしすいか
	T	すい	種無し西瓜	たねなしすいか
	T	すい	西瓜	すいか
	T	すい	西瓜割り	すいかわり
MISSING_CANDIDATE	角	すみ	8
	T	すみ	三角草	みすみそう
	T	すみ	入り角	いりすみ
	T	すみ	入角	いりすみ
	T	すみ	出角	ですみ
	T	すみ	角	すみ
MISSING_CANDIDATE	計	ばか	3
	T	ばか	それ計り	そればかり
	T	ばか	日計り	ひばかり
	T	ばか	日計り商い	ひばかりあきない
MISSING_CANDIDATE	話	ばな	3
	T	ばな	マジ話	まじばな
	T	ばな	噂話し	うわさばなし
	T	ばな	恋話	こいばな
MISSING_CANDIDATE	語	かたり	3
	T	かたり	浄瑠璃語	じょうるりかたり
	T	かたり	語	かたり
	T	かたり	語部	かたりべ
MISSING_CANDIDATE	谷	だに	3
	T	だに	おぼれ谷	おぼれだに
	T	だに	海底谷	かいていだに
	T	だに	溺れ谷	おぼれだに
MISSING_CANDIDATE	谷	や	17
	T	や	四谷怪談	よつやかいだん
	T	や	大谷石	おおやいし
	T	や	姫谷焼	ひめややき
	T	や	帯広大谷短期大学	おびひろおおやたんきだいがく
	T	や	恐れ入谷の鬼子母神	おそれいりやのきしぼじん
MISSING_CANDIDATE	走	はしり	5
	T	はしり	走幅跳	はしりはばとび
	T	はしり	走幅跳び	はしりはばとび
	T	はしり	走書き	はしりがき
	T	はしり	走高跳	はしりたかとび
	T	はしり	走高跳び	はしりたかとび
MISSING_CANDIDATE	近	この	3
	T	この	近衛	このえ
	T	この	近衛兵	このえへい
	T	この	近衛師団	このえしだん
MISSING_CANDIDATE	近	じか	4
	T	じか	手近	てじか
	T	じか	目近	まじか
	T	じか	真近	まじか
	T	じか	間近	まじか
MISSING_CANDIDATE	通	がよ	4
	T	がよ	劇場通い	げきじょうがよい
	T	がよ	医者通い	いしゃがよい
	T	がよ	塾通い	じゅくがよい
	T	がよ	通い	がよい
MISSING_CANDIDATE	通	ずう	11
	T	ずう	六神通	ろくじんずう
	T	ずう	弘通	ぐずう
	T	ずう	神通力	じんずうりき
	T	ずう	融通	ゆうずう
	T	ずう	融通がきく	ゆうずうがきく
MISSING_CANDIDATE	通	づう	4
	T	づう	神通力	じんづうりき
	T	づう	融通	ゆうづう
	T	づう	融通無碍	ゆうづうむげ
	T	づう	融通無礙	ゆうづうむげ
MISSING_CANDIDATE	通	とう	3
	T	とう	おっしゃる通り	おっしゃるとうり
	T	とう	この通り	このとうり
	T	とう	仰る通り	おっしゃるとうり
MISSING_CANDIDATE	通	とおし	3
	T	とおし	切通	きりとおし
	T	とおし	見通	みとおし
	T	とおし	面通	めんとおし
MISSING_CANDIDATE	通	とおり	3
	T	とおり	裏通	うらとおり
	T	とおり	通名	とおりな
	T	とおり	通物	とおりもの
MISSING_CANDIDATE	通	どう	4
	T	どう	いつも通り	いつもどうり
	T	どう	マニュアル通り	まにゅあるどうり
	T	どう	通り	どうり
	T	どう	隣通し	となりどうし
MISSING_CANDIDATE	通	どおし	3
	T	どおし	切通	きりどおし
	T	どおし	紋殻通	もんがらどおし
	T	どおし	面通	めんどおし
MISSING_CANDIDATE	通	どおり	4
	T	どおり	大通	おおどおり
	T	どおり	桜通線	さくらどおりせん
	T	どおり	表通	おもてどおり
	T	どおり	裏通	うらどおり
MISSING_CANDIDATE	道	と	5
	T	と	お天道さま	おてんとさま
	T	と	お天道様	おてんとさま
	T	と	吏道	りと
	T	と	御天道さま	おてんとさま
	T	と	御天道様	おてんとさま
MISSING_CANDIDATE	道	ど	11
	T	ど	お道化る	おどける
	T	ど	道産娘	どさんこ
	T	ど	道産子	どさんこ
	T	ど	非道い	ひどい
	T	ど	非道く	ひどく
MISSING_CANDIDATE	遠	どう	5
	T	どう	お待ち遠さま	おまちどうさま
	T	どう	お待ち遠様	おまちどうさま
	T	どう	待ち遠しい	まちどうしい
	T	どう	待遠しい	まちどうしい
	T	どう	御待ち遠様	おまちどうさま
MISSING_CANDIDATE	野	くわ	3
	T	くわ	日本野蚕学会	にっぽんくわごがっかい
	T	くわ	野蚕	くわこ
	T	くわ	野蚕	くわご
MISSING_CANDIDATE	野	つけ	3
	T	つけ	下野	しもつけ
	T	つけ	下野草	しもつけそう
	T	つけ	穂咲下野	ほざきしもつけ
MISSING_CANDIDATE	長	じょう	4
	T	じょう	人長	にんじょう
	T	じょう	増長天	ぞうじょうてん
	T	じょう	無明長夜	むみょうじょうや
	T	じょう	長夜	じょうや
MISSING_CANDIDATE	長	た	4
	T	た	世故に長ける	せこにたける
	T	た	年長ける	としたける
	T	た	臈長ける	ろうたける
	T	た	長ける	たける
MISSING_CANDIDATE	雪	すす	3
	T	すす	会稽の恥を雪ぐ	かいけいのはじをすすぐ
	T	すす	汚名を雪ぐ	おめいをすすぐ
