MISSING_CANDIDATE	俄	にわ	13
	T	わた	八幡の藪知らず	やわたのやぶしらず
	T	わた	八幡知らず	やわたしらず
MISSING_CANDIDATE	廻	ね	12
	T	ね	侵食輪廻	しんしょくりんね
	T	ね	六道輪廻	ろくどうりんね
	T	ね	地形輪廻	ちけいりんね
	T	ね	堆積輪廻	たいせきりんね
	T	ね	流転輪廻	るてんりんね
MISSING_CANDIDATE	廻	まわり	3
	T	まわり	廻縁	まわりえん
	T	まわり	廻縁	まわりぶち
	T	まわり	馬廻	うままわり
MISSING_CANDIDATE	廿	はつ	3
	T	はつ	廿日	はつか
	T	はつ	廿日大根	はつかだいこん
	T	はつ	廿日鼠	はつかねずみ
MISSING_CANDIDATE	彦	びこ	3
	T	びこ	山彦	やまびこ
	T	びこ	猿田彦	さるたびこ
	T	びこ	猿田彦	さるだびこ
MISSING_CANDIDATE	悉	しっ	4
	T	しっ	悉皆	しっかい
	T	しっ	悉皆成仏	しっかいじょうぶつ
	T	しっ	悉皆調査	しっかいちょうさ
	T	しっ	草木国土悉皆成仏	そうもくこくどしっかいじょうぶつ
MISSING_CANDIDATE	惚	とぼ	12
	T	とぼ	お惚け	おとぼけ
	T	とぼ	すっ惚ける	すっとぼける
	T	とぼ	寝惚けまなこ	ねとぼけまなこ
	T	とぼ	寝惚ける	ねとぼける
	T	とぼ	寝惚け眼	ねとぼけまなこ
MISSING_CANDIDATE	惚	のろ	3
	T	のろ	惚気	のろけ
	T	のろ	惚気る	のろける
	T	のろ	惚気話	のろけばなし
MISSING_CANDIDATE	惚	ほう	3
	T	ほう	惚ける	ほうける
	T	ほう	病み惚ける	やみほうける
	T	ほう	遊び惚ける	あそびほうける
MISSING_CANDIDATE	惚	ぼれ	4
	T	ぼれ	岡惚	おかぼれ
	T	ぼれ	己惚鏡	うぬぼれかがみ
	T	ぼれ	自惚	うぬぼれ
	T	ぼれ	自惚鏡	うぬぼれかがみ
MISSING_CANDIDATE	或	ある	4
	T	ある	或	ある
	T	ある	或いは	あるいは
	T	ある	或は	あるは
	T	ある	或日	あるひ
MISSING_CANDIDATE	掠	さら	3
	T	さら	人気を掠う	にんきをさらう
	T	さら	引っ掠う	ひっさらう
	T	さら	掠う	さらう
MISSING_CANDIDATE	撒	さ	3
	T	さ	弥撒	みさ
	T	さ	撒哈拉	さはら
	T	さ	撒拉族	さらぞく
MISSING_CANDIDATE	撒	さっ	3
	T	さっ	撒布	さっぷ
	T	さっ	撒布剤	さっぷざい
	T	さっ	撒水	さっすい
MISSING_CANDIDATE	撫	なで	4
	T	なで	撫切り	なでぎり
	T	なで	撫斬り	なでぎり
	T	なで	撫牛	なでうし
	T	なで	撫肩	なでがた
MISSING_CANDIDATE	撫	なでし	7
	T	なでし	唐撫子	からなでしこ
	T	なでし	富士撫子	ふじなでしこ
	T	なでし	撫子	なでしこ
	T	なでし	撫子ジャパン	なでしこじゃぱん
	T	なでし	河原撫子	かわらなでしこ
MISSING_CANDIDATE	播	はり	3
	T	はり	播磨	はりま
	T	はり	播磨風土記	はりまふどき
	T	はり	石川島播磨重工業株式会社	いしかわじまはりまじゅうこうぎょうかぶしきがいしゃ
MISSING_CANDIDATE	播	ぱん	3
	T	ぱん	伝播	でんぱん
	T	ぱん	伝播側	でんぱんそく
	T	ぱん	傳播	でんぱん
MISSING_CANDIDATE	斯	かく	4
	T	かく	斯して	かくして
	T	かく	斯の如き	かくのごとき
	T	かく	斯の如く	かくのごとく
	T	かく	斯や	かくや
MISSING_CANDIDATE	斯	こ	5
	T	こ	斯う	こう
	T	こ	斯うした	こうした
	T	こ	斯うして	こうして
	T	こ	斯の	この
	T	こ	然う斯う	そうこう
MISSING_CANDIDATE	斯	す	7
	T	す	巴基斯担	ぱきすたん
	T	す	日本瓦斯	にっぽんがす
	T	す	東京瓦斯	とうきょうがす
	T	す	瓦斯	がす
	T	す	瓦斯会社	がすがいしゃ
MISSING_CANDIDATE	旭	きょっ	3
	T	きょっ	旭光	きょっこう
	T	きょっ	旭旗	きょっき
	T	きょっ	旭暉	きょっき
MISSING_CANDIDATE	昌	じょう	4
	T	じょう	商売繁昌	しょうばいはんじょう
	T	じょう	商賣繁昌	しょうばいはんじょう
	T	じょう	繁昌	はんじょう
	T	じょう	蕃昌	はんじょう
MISSING_CANDIDATE	晒	ざらし	3
	T	ざらし	夜晒	よざらし
	T	ざらし	未晒	みざらし
	T	ざらし	野晒	のざらし
MISSING_CANDIDATE	晦	みそ	4
	T	みそ	大晦日	おおみそか
	T	みそ	晦	みそ
	T	みそ	晦日	みそか
	T	みそ	晦日そば	みそかそば
MISSING_CANDIDATE	曝	ざら	4
	T	ざら	店曝し	たなざらし
	T	ざら	棚曝し	たなざらし
	T	ざら	野曝し	のざらし
	T	ざら	雨曝し	あまざらし
MISSING_CANDIDATE	杷	わ	6
	T	わ	山枇杷	やまびわ
	T	わ	枇杷	びわ
	T	わ	枇杷葉	びわよう
	T	わ	枇杷酒	びわしゅ
	T	わ	犬枇杷	いぬびわ
MISSING_CANDIDATE	柑	こう	5
	T	こう	柑子栗毛	こうじくりげ
	T	こう	柑子色	こうじいろ
	T	こう	柚柑	ゆこう
	T	こう	薮柑子	やぶこうじ
	T	こう	藪柑子	やぶこうじ
MISSING_CANDIDATE	桂	げい	3
	T	げい	大大桂馬	だいだいげいま
	T	げい	大桂馬	おおげいま
	T	げい	小桂馬	こげいま
MISSING_CANDIDATE	梁	ばり	4
	T	ばり	基礎梁	きそばり
	T	ばり	横梁	よこばり
	T	ばり	片持ち梁	かたもちばり
	T	ばり	片持梁	かたもちばり
MISSING_CANDIDATE	梯	はし	17
	T	はし	宇宙の距離梯子	うちゅうのきょりはしご
	T	はし	梯	はし
	T	はし	梯子	はしご
	T	はし	梯子の段	はしごのだん
	T	はし	梯子をかける	はしごをかける
MISSING_CANDIDATE	梯	ばし	6
	T	ばし	白洲梯子	しらすばしご
	T	ばし	綱梯子	つなばしご
	T	ばし	縄梯子	なわばしご
	T	ばし	繰り出し梯子	くりだしばしご
	T	ばし	繰出し梯子	くりだしばしご
MISSING_CANDIDATE	棲	すみ	3
	T	すみ	棲処	すみか
	T	すみ	棲家	すみか
	T	すみ	終の棲家	ついのすみか
MISSING_CANDIDATE	椿	つばい	3
	T	つばい	椿桃	つばいもも
	T	つばい	椿餅	つばいもち
	T	つばい	椿餅	つばいもちい
MISSING_CANDIDATE	楠	な	5
	T	な	本石楠花	ほんしゃくなげ
	T	な	東石楠花	あずましゃくなげ
	T	な	白山石楠花	はくさんしゃくなげ
	T	な	石楠花	しゃくなげ
	T	な	黄花石楠花	きばなしゃくなげ
MISSING_CANDIDATE	楯	だて	3
	T	だて	佩楯	はいだて
	T	だて	小楯	こだて
	T	だて	後ろ楯	うしろだて
MISSING_CANDIDATE	樺	から	9
	T	から	樺太	からふと
	T	から	樺太シシャモ	からふとししゃも
	T	から	樺太千島交換条約	からふとちしまこうかんじょうやく
	T	から	樺太梟	からふとふくろう
	T	から	樺太犬	からふといぬ
MISSING_CANDIDATE	橘	だち	3
	T	だち	酢橘	すだち
	T	だち	酸橘	すだち
	T	だち	醋橘	すだち
MISSING_CANDIDATE	櫛	ぐし	4
	T	ぐし	手櫛	てぐし
	T	ぐし	解き櫛	ときぐし
	T	ぐし	馬櫛	うまぐし
	T	ぐし	馬櫛	まぐし
MISSING_CANDIDATE	櫛	しっ	3
	T	しっ	櫛比	しっぴ
	T	しっ	櫛風沐雨	しっぷうもくう
	T	しっ	櫛風浴雨	しっぷうよくう
MISSING_CANDIDATE	此	こ	82
	T	こ	今は此れ迄	いまはこれまで
	T	こ	何れも此れも	どれもこれも
	T	こ	此うした	こうした
	T	こ	此の	この
	T	こ	此の上	このうえ
MISSING_CANDIDATE	毬	かさ	4
	T	かさ	松毬	まつかさ
	T	かさ	松毬貝	まつかさがい
	T	かさ	松毬魚	まつかさうお
	T	かさ	毬	かさ
MISSING_CANDIDATE	溜	だまり	4
	T	だまり	ガス溜	がすだまり
	T	だまり	舟溜	ふなだまり
	T	だまり	船溜	ふなだまり
	T	だまり	行司溜	ぎょうじだまり
MISSING_CANDIDATE	溜	だめ	3
	T	だめ	液溜	えきだめ
	T	だめ	糞溜	くそだめ
	T	だめ	肥溜	こえだめ
MISSING_CANDIDATE	溢	あぶ	3
	T	あぶ	溢れ	あぶれ
	T	あぶ	溢れる	あぶれる
	T	あぶ	溢れ者	あぶれもの
MISSING_CANDIDATE	溢	いっ	3
	T	いっ	溢水	いっすい
	T	いっ	溢血	いっけつ
	T	いっ	脳溢血	のういっけつ
MISSING_CANDIDATE	漕	こぎ	3
	T	こぎ	漕寄せる	こぎよせる
	T	こぎ	漕着ける	こぎつける
	T	こぎ	阿漕	あこぎ
MISSING_CANDIDATE	灼	や	4
	T	や	灼く	やく
	T	や	灼ける	やける
	T	や	胸灼け	むなやけ
	T	や	胸灼け	むねやけ
MISSING_CANDIDATE	焚	だ	4
	T	だ	大根焚き	だいこんだき
	T	だ	空焚き	からだき
	T	だ	追い焚き	おいだき
	T	だ	追焚き	おいだき
MISSING_CANDIDATE	煉	ねり	4
	T	ねり	煉土	ねりつち
	T	ねり	煉歯磨	ねりはみがき
	T	ねり	煉製品	ねりせいひん
	T	ねり	煉香	ねりこう
MISSING_CANDIDATE	爾	る	4
	T	る	亜爾加里	あるかり
	T	る	亜爾然丁	あるぜんちん
	T	る	亜爾然丁蟻	あるぜんちんあり
	T	る	加爾基	かるき
MISSING_CANDIDATE	猪	いの	4
	T	いの	猪子	いのこ
	T	いの	猪目	いのめ
	T	いの	猪豚	いのぶた
	T	いの	猪鹿蝶	いのしかちょう
MISSING_CANDIDATE	猪	しし	6
	T	しし	山より大きな猪は出ぬ	やまよりおおきなししはでぬ
	T	しし	猪	しし
	T	しし	猪垣	ししがき
	T	しし	猪狩	ししがり
	T	しし	猪狩り	ししがり
MISSING_CANDIDATE	瓢	ぴょう	5
	T	ぴょう	一瓢	いっぴょう
	T	ぴょう	一箪の食一瓢の飲	いったんのしいっぴょうのいん
	T	ぴょう	一簞の食一瓢の飲	いったんのしいっぴょうのいん
	T	ぴょう	乾瓢	かんぴょう
	T	ぴょう	干瓢	かんぴょう
MISSING_CANDIDATE	畠	ばたけ	3
	T	ばたけ	桑畠	くわばたけ
	T	ばたけ	段段畠	だんだんばたけ
	T	ばたけ	花畠	はなばたけ
MISSING_CANDIDATE	畢	ひっ	3
	T	ひっ	畢生	ひっせい
	T	ひっ	畢竟	ひっきょう
	T	ひっ	畢竟するに	ひっきょうするに
MISSING_CANDIDATE	皐	さ	3
	T	さ	皐月	さつき
	T	さ	皐月晴れ	さつきばれ
	T	さ	皐月鱒	さつきます
MISSING_CANDIDATE	碧	ぺき	3
	T	ぺき	三碧	さんぺき
	T	ぺき	丹碧	たんぺき
	T	ぺき	紺碧	こんぺき
MISSING_CANDIDATE	穿	ば	3
	T	ば	下穿き	したばき
	T	ば	直穿き	じかばき
	T	ば	腰穿き	こしばき
MISSING_CANDIDATE	穿	ほじく	3
	T	ほじく	穿り出す	ほじくりだす
	T	ほじく	穿り返す	ほじくりかえす
	T	ほじく	穿る	ほじくる
MISSING_CANDIDATE	穿	ぽ	3
	T	ぽ	かっ穿じる	かっぽじる
	T	ぽ	掻っ穿じる	かっぽじる
	T	ぽ	搔っ穿じる	かっぽじる
MISSING_CANDIDATE	笠	りつ	3
	T	りつ	簑笠	さりつ
	T	りつ	簔笠	さりつ
	T	りつ	蓑笠	さりつ
MISSING_CANDIDATE	筑	つく	14
	T	つく	東京家政学院筑波女子大学	とうきょうかせいがくいんつくばじょしだいがく
	T	つく	筑波大学	つくばだいがく
	T	つく	筑波大学病院	つくばだいがくびょういん
	T	つく	筑波大学附属図書館	つくばだいがくふぞくとしょかん
	T	つく	筑波大学電子図書館	つくばだいがくでんしとしょかん
MISSING_CANDIDATE	箔	ぱく	3
	T	ぱく	金箔	きんぱく
	T	ぱく	金箔が剥げる	きんぱくがはげる
	T	ぱく	銀箔	ぎんぱく
MISSING_CANDIDATE	綴	とじ	9
	T	とじ	仮綴	かりとじ
	T	とじ	仮綴本	かりとじほん
	T	とじ	卵綴	たまごとじ
	T	とじ	破鍋に綴蓋	われなべにとじぶた
	T	とじ	綴暦	とじごよみ
MISSING_CANDIDATE	綺	ぎ	4
	T	ぎ	口綺麗	くちぎれい
	T	ぎ	小綺麗	こぎれい
	T	ぎ	手綺麗	てぎれい
	T	ぎ	身綺麗	みぎれい
MISSING_CANDIDATE	綾	や	3
	T	や	紗綾形	さやがた
	T	や	透き綾	すきや
	T	や	透綾	すきや
MISSING_CANDIDATE	耽	ふ	5
	T	ふ	思い耽ける	おもいふける
	T	ふ	考えに耽ける	かんがえにふける
	T	ふ	考え事に耽ける	かんがえごとにふける
	T	ふ	耽ける	ふける
	T	ふ	読み耽ける	よみふける
MISSING_CANDIDATE	肋	ばら	4
	T	ばら	肋	ばら
	T	ばら	肋肉	ばらにく
	T	ばら	豚肋	ぶたばら
	T	ばら	豚肋肉	ぶたばらにく
MISSING_CANDIDATE	胡	あ	4
	T	あ	胡座	あぐら
	T	あ	胡座かく	あぐらかく
	T	あ	胡座をかく	あぐらをかく
	T	あ	胡座を掻く	あぐらをかく
MISSING_CANDIDATE	胡	きゅ	3
	T	きゅ	胡瓜	きゅうり
	T	きゅ	胡瓜草	きゅうりぐさ
	T	きゅ	胡瓜魚	きゅうりうお
MISSING_CANDIDATE	胤	だね	3
	T	だね	子胤	こだね
	T	だね	落し胤	おとしだね
	T	だね	落とし胤	おとしだね
MISSING_CANDIDATE	腔	くう	42
	T	くう	くも膜下腔	くもまくかくう
	T	くう	クモ膜下腔	くもまくかくう
	T	くう	体腔	たいくう
	T	くう	内腔	ないくう
	T	くう	副鼻腔	ふくびくう
MISSING_CANDIDATE	膏	ごう	3
	T	ごう	二股膏薬	ふたまたごうやく
	T	ごう	内股膏薬	うちまたごうやく
	T	ごう	股座膏薬	またぐらごうやく
MISSING_CANDIDATE	臥	ふし	4
	T	ふし	臥待ち月	ふしまちづき
	T	ふし	臥待月	ふしまちづき
	T	ふし	臥所	ふしど
	T	ふし	臥所	ふしどころ
MISSING_CANDIDATE	芥	から	10
	T	から	煉り芥子	ねりからし
	T	から	練り芥子	ねりからし
	T	から	芥子	からし
	T	から	芥子味噌	からしみそ
	T	から	芥子油	からしゆ
MISSING_CANDIDATE	芥	がら	10
	T	がら	オランダ芥子	おらんだがらし
	T	がら	和芥子	わがらし
	T	がら	唐芥子	とうがらし
	T	がら	洋芥子	ようがらし
	T	がら	煉り芥子	ねりがらし
MISSING_CANDIDATE	芹	ぜり	4
	T	ぜり	オランダ芹	おらんだぜり
	T	ぜり	三葉芹	みつばぜり
	T	ぜり	毒芹	どくぜり
	T	ぜり	浜芹	はまぜり
MISSING_CANDIDATE	苔	のり	3
	T	のり	甘苔	あまのり
	T	のり	血条苔	ちすじのり
	T	のり	血筋苔	ちすじのり
MISSING_CANDIDATE	茄	な	18
	T	な	唐茄子	とうなす
	T	な	惚け茄子	ぼけなす
	T	な	水茄子	みずなす
	T	な	浜茄子	はまなす
	T	な	焼き茄子	やきなす
MISSING_CANDIDATE	茅	がや	4
	T	がや	油茅	あぶらがや
	T	がや	瀬戸茅	せとがや
	T	がや	背戸茅	せとがや
	T	がや	鴨茅	かもがや
MISSING_CANDIDATE	茅	じ	5
	T	じ	浅茅	あさじ
	T	じ	浅茅生	あさじう
	T	じ	浅茅生	あさじふ
	T	じ	淺茅生	あさじう
	T	じ	淺茅生	あさじふ
MISSING_CANDIDATE	茅	ち	3
	T	ち	茅	ち
	T	ち	茅の輪	ちのわ
	T	ち	茅巻き	ちまき
MISSING_CANDIDATE	莫	ば	5
	T	ば	小莫迦	こばか
	T	ば	小莫迦にする	こばかにする
	T	ば	莫迦	ばか
MISSING_CANDIDATE	菅	すが	4
	T	すが	菅	すが
	T	すが	菅藻	すがも
	T	すが	表菅原	おもてすがわら
	T	すが	裏菅原	うらすがわら
MISSING_CANDIDATE	萌	もえ	8
	T	もえ	下萌	したもえ
	T	もえ	萌出す	もえだす
	T	もえ	萌木	もえぎ
	T	もえ	萌木色	もえぎいろ
	T	もえ	萌豚	もえぶた
MISSING_CANDIDATE	萠	もえ	3
	T	もえ	下萠	したもえ
	T	もえ	萠黄	もえぎ
	T	もえ	萠黄色	もえぎいろ
MISSING_CANDIDATE	萱	かん	4
	T	かん	浜萱草	はまかんぞう
	T	かん	萱草	かんぞう
	T	かん	藪萱草	やぶかんぞう
	T	かん	野萱草	のかんぞう
MISSING_CANDIDATE	蔓	かずら	6
	T	かずら	日陰の蔓	ひかげのかずら
	T	かずら	草杉蔓	くさすぎかずら
	T	かずら	蔓	かずら
	T	かずら	蔓橋	かずらばし
	T	かずら	蔦蔓	つたかずら
MISSING_CANDIDATE	蔦	づた	4
	T	づた	木蔦	きづた
	T	づた	豆蔦	まめづた
	T	づた	豆蔦蘭	まめづたらん
	T	づた	黒木蔦	くろきづた
MISSING_CANDIDATE	薩	さ	3
	T	さ	拉薩	らさ
	T	さ	菩薩揚	ぼさあげ
	T	さ	菩薩揚げ	ぼさあげ
MISSING_CANDIDATE	蘭	れん	3
	T	れん	木蘭	もくれん
	T	れん	白木蘭	はくもくれん
	T	れん	紫木蘭	しもくれん
MISSING_CANDIDATE	蝦	が	5
	T	が	蝦蟆	がま
	T	が	蝦蟇	がま
	T	が	蝦蟇口	がまぐち
	T	が	蝦蟇腫	がましゅ
	T	が	蝦蟇鮟鱇	がまあんこう
MISSING_CANDIDATE	蝦	しゃ	3
	T	しゃ	蝦蛄	しゃこ
	T	しゃ	蝦蛄万力	しゃこまんりき
	T	しゃ	蝦蛄葉サボテン	しゃこばさぼてん
MISSING_CANDIDATE	螺	ね	22
	T	ね	プラス螺子	ぷらすねじ
	T	ね	ボール螺子	ぼーるねじ
	T	ね	十字螺子	じゅうじねじ
	T	ね	右螺子の法則	みぎねじのほうそく
	T	ね	木螺子	もくねじ
MISSING_CANDIDATE	袈	げ	5
	T	げ	大袈裟	おおげさ
	T	げ	大袈裟にする	おおげさにする
	T	げ	大袈裟に言う	おおげさにいう
	T	げ	結袈裟	ゆいげさ
	T	げ	輪袈裟	わげさ
MISSING_CANDIDATE	謂	いわ	6
	T	いわ	謂れ	いわれ
	T	いわ	謂れない	いわれない
	T	いわ	謂れのない	いわれのない
	T	いわ	謂れの無い	いわれのない
	T	いわ	謂れ因縁	いわれいんねん
MISSING_CANDIDATE	讃	さぬ	5
	T	さぬ	讃岐	さぬき
	T	さぬ	讃岐うどん	さぬきうどん
	T	さぬ	讃岐岩	さぬきがん
	T	さぬ	讃岐弁	さぬきべん
	T	さぬ	讃岐式アクセント	さぬきしきあくせんと
MISSING_CANDIDATE	這	ばい	3
	T	ばい	夜這星	よばいぼし
	T	ばい	稲妻横這	いなずまよこばい
	T	ばい	褄黒横這	つまぐろよこばい
MISSING_CANDIDATE	逢	おう	2
	T       おう    逢瀬    おうせ
	T       おう    逢魔が時        おうまがとき
MISSING_CANDIDATE	逢	あい	3
	T	あい	逢引	あいびき
	T	あい	逢引き	あいびき
	T	あい	逢縁機縁	あいえんきえん
MISSING_CANDIDATE	釉	ぐすり	4
	T	ぐすり	上釉	うわぐすり
	T	ぐすり	灰釉	はいぐすり
	T	ぐすり	鉄釉	てつぐすり
	T	ぐすり	鉛釉	なまりぐすり
MISSING_CANDIDATE	鋒	ぽう	6
	T	ぽう	先鋒	せんぽう
	T	ぽう	急先鋒	きゅうせんぽう
	T	ぽう	筆鋒	ひっぽう
	T	ぽう	舌鋒	ぜっぽう
	T	ぽう	舌鋒鋭い	ぜっぽうするどい
MISSING_CANDIDATE	鋸	が	4
	T	が	大鋸	おおが
	T	が	大鋸	おが
	T	が	大鋸屑	おがくず
	T	が	大鋸炭	おがたん
MISSING_CANDIDATE	錆	さ	9
	T	さ	赤錆び	あかさび
	T	さ	赤錆びる	あかさびる
	T	さ	錆び	さび
	T	さ	錆びつく	さびつく
	T	さ	錆びる	さびる
MISSING_CANDIDATE	隼	はや	4
	T	はや	隼人	はやと
	T	はや	隼人	はやひと
	T	はや	隼人うり	はやとうり
	T	はや	隼人瓜	はやとうり
MISSING_CANDIDATE	雀	から	4
	T	から	五十雀	ごじゅうから
	T	から	十二雀	じゅうにから
	T	から	四十雀	しじゅうから
	T	から	四十雀雁	しじゅうからがん
MISSING_CANDIDATE	雀	がら	6
	T	がら	アメリカ小雀	あめりかこがら
	T	がら	カロライナ小雀	かろらいなこがら
	T	がら	四十雀	しじゅうがら
	T	がら	小雀	こがら
	T	がら	山雀	やまがら
MISSING_CANDIDATE	馳	ば	4
	T	ば	後れ馳せ	おくればせ
	T	ば	後れ馳せながら	おくればせながら
	T	ば	遅れ馳せ	おくればせ
	T	ば	遅れ馳せながら	おくればせながら
MISSING_CANDIDATE	鮎	あい	3
	T	あい	マジェラン鮎魚女	まじぇらんあいなめ
	T	あい	鮎並女	あいなめ
	T	あい	鮎魚女	あいなめ
MISSING_CANDIDATE	鰯	か	4
	T	か	乾し鰯	ほしか
	T	か	乾鰯	ほしか
	T	か	干し鰯	ほしか
	T	か	干鰯	ほしか
MISSING_CANDIDATE	戲	たわ	4
	T	たわ	戲ける	たわける
	T	たわ	戲け者	たわけもの
	T	たわ	戲言	たわこと
	T	たわ	戲言	たわごと
MISSING_CANDIDATE	曾	ひい	4
	T	ひい	曾	ひい
	T	ひい	曾おじいさん	ひいおじいさん
	T	ひい	曾おばあさん	ひいおばあさん
	T	ひい	曾孫	ひいまご
MISSING_CANDIDATE	萬	わん	3
	T	わん	萬	わん
	T	わん	萬子	わんず
	T	わん	萬子	わんつ
MISSING_CANDIDATE	駈	が	4
	T	が	先駈け	さきがけ
	T	が	先駈ける	さきがける
	T	が	抜け駈け	ぬけがけ
	T	が	朝駈け	あさがけ
