MISSING_CANDIDATE	丘	く	9
	T	のば	引き伸し	ひきのばし
	T	のば	引き伸し機	ひきのばしき
	T	のば	引き伸す	ひきのばす
	T	のば	引伸し機	ひきのばしき
	T	のば	引伸す	ひきのばす
MISSING_CANDIDATE	但	たじ	3
	T	たじ	但馬	たじま
	T	たじ	但馬牛	たじまうし
	T	たじ	但馬牛	たじまぎゅう
MISSING_CANDIDATE	併	しか	3
	T	しか	併し	しかし
	T	しか	併しながら	しかしながら
	T	しか	併し乍ら	しかしながら
MISSING_CANDIDATE	偏	べん	5
	T	べん	人偏	にんべん
	T	べん	巾偏	きんべん
	T	べん	立心偏	りっしんべん
	T	べん	行人偏	ぎょうにんべん
	T	べん	言偏	ごんべん
MISSING_CANDIDATE	傑	けっ	4
	T	けっ	傑作	けっさく
	T	けっ	傑出	けっしゅつ
	T	けっ	傑士	けっし
	T	けっ	最高傑作	さいこうけっさく
MISSING_CANDIDATE	傘	からかさ	3
	T	からかさ	おんば日傘	おんばひからかさ
	T	からかさ	傘	からかさ
	T	からかさ	日傘	ひからかさ
MISSING_CANDIDATE	催	もよ	3
	T	もよ	雨催い	あまもよい
	T	もよ	雨催い	あめもよい
	T	もよ	雪催い	ゆきもよい
MISSING_CANDIDATE	傾	なだ	5
	T	なだ	傾れ	なだれ
	T	なだ	傾れる	なだれる
	T	なだ	傾れ落ちる	なだれおちる
	T	なだ	傾れ込む	なだれこむ
	T	なだ	雪傾れ	ゆきなだれ
MISSING_CANDIDATE	克	こっ	3
	T	こっ	克己	こっき
	T	こっ	克己復礼	こっきふくれい
	T	こっ	克己心	こっきしん
MISSING_CANDIDATE	兼	かね	6
	T	かね	兼合い	かねあい
	T	かね	兼松日産農林	かねまつにっさんのうりん
	T	かね	兼言	かねごと
	T	かね	千番に一番の兼合	せんばんにいちばんのかねあい
	T	かね	待兼	まちかね
MISSING_CANDIDATE	冠	か	4
	T	か	冠者	かざ
	T	か	冠者	かじゃ
	T	か	太郎冠者	たろうかじゃ
	T	か	猿面冠者	さるめんかじゃ
MISSING_CANDIDATE	冠	かぶ	5
	T	かぶ	冠り物	かぶりもの
	T	かぶ	冠る	かぶる
	T	かぶ	冠木	かぶき
	T	かぶ	冠木門	かぶきもん
	T	かぶ	頰冠り	ほおかぶり
MISSING_CANDIDATE	冠	かぶり	3
	T	かぶり	冠	かぶり
	T	かぶり	冠物	かぶりもの
	T	かぶり	初冠	ういかぶり
MISSING_CANDIDATE	冠	かむり	4
	T	かむり	冠	かむり
	T	かむり	冠板	かむりいた
	T	かむり	初冠	ういかむり
	T	かむり	皮冠	かわかむり
MISSING_CANDIDATE	凝	こり	3
	T	こり	凝	こり
	T	こり	凝固まり	こりかたまり
	T	こり	凝固まる	こりかたまる
MISSING_CANDIDATE	凸	とっ	7
	T	とっ	亜鉛凸版	あえんとっぱん
	T	とっ	写真凸版	しゃしんとっぱん
	T	とっ	凸版	とっぱん
	T	とっ	凸版印刷	とっぱんいんさつ
	T	とっ	凸角	とっかく
MISSING_CANDIDATE	刺	ざし	3
	T	ざし	串刺	くしざし
	T	ざし	串刺検索	くしざしけんさく
	T	ざし	目刺	めざし
MISSING_CANDIDATE	刺	らつ	3
	T	らつ	ハツ刺	はつらつ
	T	らつ	溌刺	はつらつ
	T	らつ	発刺	はつらつ
MISSING_CANDIDATE	削	さっ	3
	T	さっ	削去	さっきょ
	T	さっ	削器	さっき
	T	さっ	氷削機	ひょうさっき
MISSING_CANDIDATE	勃	だ	3
	T	だ	半勃ち	はんだち
	T	だ	朝勃ち	あさだち
	T	だ	甘勃ち	あまだち
MISSING_CANDIDATE	勅	ちょっ	3
	T	ちょっ	勅勘	ちょっかん
	T	ちょっ	勅許	ちょっきょ
	T	ちょっ	英国勅許会計士協会	えいこくちょっきょかいけいしきょうかい
MISSING_CANDIDATE	匂	におい	4
	T	におい	匂	におい
	T	におい	匂桜	においざくら
	T	におい	匂玉	においだま
	T	におい	匂菫	においすみれ
MISSING_CANDIDATE	匠	じょう	3
	T	じょう	番匠笠	ばんじょうがさ
	T	じょう	鵜匠	うじょう
	T	じょう	鷹匠	たかじょう
MISSING_CANDIDATE	匹	ひっ	6
	T	ひっ	匹儔	ひっちゅう
	T	ひっ	匹夫	ひっぷ
	T	ひっ	匹夫の勇	ひっぷのゆう
	T	ひっ	匹夫も志を奪うべからず	ひっぷもこころざしをうばうべからず
	T	ひっ	匹婦	ひっぷ
MISSING_CANDIDATE	匿	かく	4
	T	かく	包み匿す	つつみかくす
	T	かく	匿す	かくす
	T	かく	匿まう	かくまう
	T	かく	匿れる	かくれる
MISSING_CANDIDATE	卑	び	3
	T	び	下卑	げび
	T	び	下卑る	げびる
	T	び	貴卑	きび
MISSING_CANDIDATE	卑	ぴ	4
	T	ぴ	女尊男卑	じょそんだんぴ
	T	ぴ	官尊民卑	かんそんみんぴ
	T	ぴ	尊卑	そんぴ
	T	ぴ	鮮卑	せんぴ
MISSING_CANDIDATE	占	うら	12
	T	うら	占	うら
	T	うら	占屋算	うらやさん
	T	うら	占算	うらさん
	T	うら	口占	くちうら
	T	うら	年占	としうら
MISSING_CANDIDATE	占	うらない	4
	T	うらない	占	うらない
	T	うらない	占師	うらないし
	T	うらない	占者	うらないしゃ
	T	うらない	占者	うらないじゃ
MISSING_CANDIDATE	占	じ	3
	T	じ	ひとり占め	ひとりじめ
	T	じ	一人占め	ひとりじめ
	T	じ	独り占め	ひとりじめ
MISSING_CANDIDATE	双	すご	5
	T	すご	双六	すごろく
	T	すご	双六盤	すごろくばん
	T	すご	双陸	すごろく
	T	すご	盤双六	ばんすごろく
	T	すご	絵双六	えすごろく
MISSING_CANDIDATE	双	ぞう	3
	T	ぞう	絵双紙	えぞうし
	T	ぞう	絵双紙屋	えぞうしや
	T	ぞう	草双紙	くさぞうし
MISSING_CANDIDATE	双	もろ	8
	T	もろ	双	もろ
	T	もろ	双乳	もろち
	T	もろ	双刃	もろは
	T	もろ	双差し	もろざし
	T	もろ	双手	もろて
MISSING_CANDIDATE	叔	お	16
	T	お	叔母	おば
	T	お	叔母さん	おばさん
	T	お	叔母ちゃん	おばちゃん
	T	お	叔母者人	おばじゃひと
	T	お	叔父	おじ
MISSING_CANDIDATE	吉	え	5
	T	え	吉い	えい
	T	え	吉方	えほう
	T	え	吉方巻	えほうまき
	T	え	吉方巻き	えほうまき
	T	え	日吉神道	ひえしんとう
MISSING_CANDIDATE	吉	き	4
	T	き	吉備	きび
	T	き	吉備団子	きびだんご
	T	き	吉備国際大学	きびこくさいだいがく
	T	き	吉利支丹	きりしたん
MISSING_CANDIDATE	吐	はき	7
	T	はき	余水吐	よすいはき
	T	はき	吐出す	はきだす
	T	はき	吐口	はきぐち
	T	はき	吐散らす	はきちらす
	T	はき	吐気	はきけ
MISSING_CANDIDATE	咽	む	3
	T	む	咽せっぽい	むせっぽい
	T	む	咽せる	むせる
	T	む	咽せ返る	むせかえる
MISSING_CANDIDATE	哀	わい	6
	T	わい	可哀そう	かわいそう
	T	わい	可哀そうに	かわいそうに
	T	わい	可哀想	かわいそう
	T	わい	可哀想に	かわいそうに
	T	わい	可哀相	かわいそう
MISSING_CANDIDATE	唾	ず	6
	T	ず	固唾	かたず
	T	ず	固唾をのむ	かたずをのむ
	T	ず	固唾を呑む	かたずをのむ
	T	ず	固唾を飲む	かたずをのむ
	T	ず	虫唾	むしず
MISSING_CANDIDATE	喚	よ	5
	T	よ	喚ばる	よばる
	T	よ	喚び出す	よびだす
	T	よ	喚び起こす	よびおこす
	T	よ	喚び起す	よびおこす
	T	よ	喚ぶ	よぶ
MISSING_CANDIDATE	嗣	つ	5
	T	つ	嗣ぐ	つぐ
	T	つ	日嗣ぎ	ひつぎ
	T	つ	日嗣ぎの御子	ひつぎのみこ
	T	つ	日嗣ぎの皇子	ひつぎのみこ
MISSING_CANDIDATE	嗣	つぎ	6
	T	つぎ	世嗣	よつぎ
	T	つぎ	天つ日嗣	あまつひつぎ
	T	つぎ	天津日嗣	あまつひつぎ
	T	つぎ	日嗣	ひつぎ
	T	つぎ	日嗣の御子	ひつぎのみこ
MISSING_CANDIDATE	嘲	あざ	3
	T	あざ	嘲けり	あざけり
	T	あざ	嘲ける	あざける
	T	あざ	嘲笑う	あざわらう
MISSING_CANDIDATE	噴	ふき	5
	T	ふき	噴上がる	ふきあがる
	T	ふき	噴上げ	ふきあげ
	T	ふき	噴上る	ふきあがる
	T	ふき	噴出す	ふきだす
	T	ふき	噴出る	ふきでる
MISSING_CANDIDATE	坊	ぼ	22
	T	ぼ	あわてん坊	あわてんぼ
	T	ぼ	お坊っちゃま	おぼっちゃま
	T	ぼ	お坊っちゃん	おぼっちゃん
	T	ぼ	くいしん坊	くいしんぼ
	T	ぼ	坊っちゃん	ぼっちゃん
MISSING_CANDIDATE	坊	ぼん	4
	T	ぼん	坊	ぼん
	T	ぼん	坊ち	ぼんち
	T	ぼん	坊主	ぼんず
	T	ぼん	坊様	ぼんさま
MISSING_CANDIDATE	執	とり	4
	T	とり	執成し	とりなし
	T	とり	執成す	とりなす
	T	とり	執持つ	とりもつ
	T	とり	執行う	とりおこなう
MISSING_CANDIDATE	堀	ほ	7
	T	ほ	堀りつくす	ほりつくす
	T	ほ	堀り出し物	ほりだしもの
	T	ほ	堀り割り	ほりわり
	T	ほ	堀り抜く	ほりぬく
	T	ほ	堀り返す	ほりかえす
MISSING_CANDIDATE	塊	かたま	3
	T	かたま	ひと塊り	ひとかたまり
	T	かたま	一塊り	ひとかたまり
	T	かたま	塊り	かたまり
MISSING_CANDIDATE	塊	ほど	3
	T	ほど	アメリカ塊芋	あめりかほどいも
	T	ほど	塊芋	ほどいも
	T	ほど	松塊	まつほど
MISSING_CANDIDATE	塗	まぶ	5
	T	まぶ	塗す	まぶす
	T	まぶ	塗る	まぶる
	T	まぶ	塗れ	まぶれ
	T	まぶ	塗れる	まぶれる
	T	まぶ	櫃塗し	ひつまぶし
MISSING_CANDIDATE	塞	せ	3
	T	せ	塞き止める	せきとめる
	T	せ	塞く	せく
	T	せ	涙塞き敢えず	なみだせきあえず
MISSING_CANDIDATE	塞	ふた	4
	T	ふた	塞がり	ふたがり
	T	ふた	塞がる	ふたがる
	T	ふた	方塞がり	かたふたがり
	T	ふた	暗れ塞がる	くれふたがる
MISSING_CANDIDATE	壊	こわし	4
	T	こわし	打ち壊	うちこわし
	T	こわし	打ち壊	ぶちこわし
	T	こわし	打壊	うちこわし
	T	こわし	打壊	ぶちこわし
MISSING_CANDIDATE	奇	ぎ	3
	T	ぎ	小奇麗	こぎれい
	T	ぎ	手奇麗	てぎれい
	T	ぎ	身奇麗	みぎれい
MISSING_CANDIDATE	奉	ささ	3
	T	ささ	奉げもの	ささげもの
	T	ささ	奉げる	ささげる
	T	ささ	奉げ物	ささげもの
MISSING_CANDIDATE	奔	ぽん	3
	T	ぽん	出奔	しゅっぽん
	T	ぽん	出奔者	しゅっぽんしゃ
	T	ぽん	淫奔	いんぽん
MISSING_CANDIDATE	奥	のう	3
	T	のう	蘊奥	うんのう
	T	のう	蘊奥を極める	うんのうをきわめる
	T	のう	蘊奥を究める	うんのうをきわめる
MISSING_CANDIDATE	奴	ぬ	5
	T	ぬ	公奴婢	くぬひ
	T	ぬ	奴僕	ぬぼく
	T	ぬ	奴婢	ぬひ
	T	ぬ	官奴婢	かんぬひ
	T	ぬ	私奴婢	しぬひ
MISSING_CANDIDATE	如	い	16
	T	い	如何で	いかで
	T	い	如何な	いかな
	T	い	如何なる	いかなる
	T	い	如何なる場合でも	いかなるばあいでも
	T	い	如何なる理由	いかなるりゆう
MISSING_CANDIDATE	如	し	12
	T	し	三十六計逃げるに如かず	さんじゅうろっけいにげるにしかず
	T	し	如かず	しかず
	T	し	如く	しく
	T	し	如くは無し	しくはなし
	T	し	子を見ること親に如かず	こをみることおやにしかず
MISSING_CANDIDATE	妬	や	10
	T	や	やきもちを妬く	やきもちをやく
	T	や	やきもち妬く	やきもちやく
	T	や	ヤキモチを妬く	やきもちをやく
	T	や	ヤキモチ妬く	やきもちやく
	T	や	妬く	やく
MISSING_CANDIDATE	姓	じょう	3
	T	じょう	氏素姓	うじすじょう
	T	じょう	種姓	すじょう
	T	じょう	素姓	すじょう
MISSING_CANDIDATE	姫	ひい	4
	T	ひい	お姫さま	おひいさま
	T	ひい	お姫様	おひいさま
	T	ひい	御姫さま	おひいさま
	T	ひい	御姫様	おひいさま
MISSING_CANDIDATE	婆	ばばあ	8
	T	ばばあ	クソ婆	くそばばあ
	T	ばばあ	婆	ばばあ
	T	ばばあ	糞婆	くそばばあ
	T	ばばあ	鬼婆	おにばばあ
MISSING_CANDIDATE	婚	よばい	3
	T	よばい	婚人	よばいびと
	T	よばい	婚文	よばいぶみ
	T	よばい	婚星	よばいぼし
MISSING_CANDIDATE	嫌	や	4
	T	や	嫌	や
	T	や	嫌なこった	やなこった
	T	や	嫌や	やや
	T	や	嫌らしい	やらしい
MISSING_CANDIDATE	宛	ずつ	3
	T	ずつ	一つ宛	ひとつずつ
	T	ずつ	一人宛	ひとりずつ
	T	ずつ	宛	ずつ
MISSING_CANDIDATE	宜	うべ	3
	T	うべ	宜	うべ
	T	うべ	宜なるかな	うべなるかな
	T	うべ	宜なる哉	うべなるかな
MISSING_CANDIDATE	宜	むべ	3
	T	むべ	宜	むべ
	T	むべ	宜なるかな	むべなるかな
	T	むべ	宜なる哉	むべなるかな
MISSING_CANDIDATE	寂	さ	4
	T	さ	きれい寂び	きれいさび
	T	さ	侘び寂び	わびさび
	T	さ	綺麗寂び	きれいさび
	T	さ	詫び寂び	わびさび
MISSING_CANDIDATE	寂	じゃっ	3
	T	じゃっ	寂光	じゃっこう
	T	じゃっ	寂光浄土	じゃっこうじょうど
	T	じゃっ	常寂光土	じょうじゃっこうど
MISSING_CANDIDATE	寝	ねと	5
	T	ねと	寝ぼけまなこ	ねとぼけまなこ
	T	ねと	寝ぼけ眼	ねとぼけまなこ
	T	ねと	寝惚けまなこ	ねとぼけまなこ
	T	ねと	寝惚ける	ねとぼける
	T	ねと	寝惚け眼	ねとぼけまなこ
MISSING_CANDIDATE	寡	やもめ	5
	T	やもめ	女寡	おんなやもめ
	T	やもめ	寡	やもめ
	T	やもめ	寡暮し	やもめぐらし
	T	やもめ	寡暮らし	やもめぐらし
	T	やもめ	男寡	おとこやもめ
MISSING_CANDIDATE	封	ふ	4
	T	ふ	封戸	ふこ
	T	ふ	封戸	ふご
	T	ふ	御封	ごふ
	T	ふ	食封	じきふ
MISSING_CANDIDATE	封	ぷう	9
	T	ぷう	一封	いっぷう
	T	ぷう	三封	さんぷう
	T	ぷう	別封	べっぷう
	T	ぷう	別封で	べっぷうで
	T	ぷう	厳封	げんぷう
MISSING_CANDIDATE	封	ぽう	6
	T	ぽう	冊封	さっぽう
	T	ぽう	冊封体制	さっぽうたいせい
	T	ぽう	冊封使	さっぽうし
	T	ぽう	分封	ぶんぽう
	T	ぽう	減封	げんぽう
MISSING_CANDIDATE	尻	けつ	23
	T	けつ	どん尻	どんけつ
	T	けつ	ビリ尻	びりけつ
	T	けつ	三尻	さんけつ
	T	けつ	二尻	にけつ
	T	けつ	尻	けつ
MISSING_CANDIDATE	尽	つく	16
	T	つく	し尽す	しつくす
	T	つく	やり尽す	やりつくす
	T	つく	出尽す	でつくす
	T	つく	売り尽す	うりつくす
	T	つく	尽す	つくす
MISSING_CANDIDATE	尾	つ	5
	T	つ	あとを尾ける	あとをつける
	T	つ	尾ける	つける
	T	つ	尾け回す	つけまわす
	T	つ	後を尾ける	あとをつける
	T	つ	跡を尾ける	あとをつける
MISSING_CANDIDATE	屈	こご	3
	T	こご	屈まる	こごまる
	T	こご	屈む	こごむ
	T	こご	屈める	こごめる
MISSING_CANDIDATE	履	ぐつ	3
	T	ぐつ	浅履	あさぐつ
	T	ぐつ	深履	ふかぐつ
	T	ぐつ	藁履	わらぐつ
MISSING_CANDIDATE	履	はき	4
	T	はき	履捨てる	はきすてる
	T	はき	履替える	はきかえる
	T	はき	履物	はきもの
	T	はき	履違える	はきちがえる
MISSING_CANDIDATE	履	ばき	3
	T	ばき	上履	うわばき
	T	ばき	下履	したばき
	T	ばき	直履	じかばき
MISSING_CANDIDATE	岳	だけ	3
	T	だけ	岳	だけ
	T	だけ	岳樺	だけかんば
	T	だけ	岳烏	だけがらす
MISSING_CANDIDATE	峰	ぽう	4
	T	ぽう	単峰駱駝	たんぽうらくだ
	T	ぽう	峻峰	しゅんぽう
	T	ぽう	群峰	ぐんぽう
	T	ぽう	連峰	れんぽう
MISSING_CANDIDATE	巡	まわ	4
	T	まわ	お巡り	おまわり
	T	まわ	お巡りさん	おまわりさん
	T	まわ	御巡り	おまわり
	T	まわ	御巡りさん	おまわりさん
MISSING_CANDIDATE	巧	ごう	5
	T	ごう	口巧者	くちごうしゃ
	T	ごう	聞き巧者	ききごうしゃ
	T	ごう	聞巧者	ききごうしゃ
	T	ごう	聴き巧者	ききごうしゃ
	T	ごう	見巧者	みごうしゃ
MISSING_CANDIDATE	巧	だく	3
	T	だく	ことば巧み	ことばだくみ
	T	だく	悪巧み	わるだくみ
	T	だく	言葉巧み	ことばだくみ
MISSING_CANDIDATE	巨	おお	3
	T	おお	巨いなる	おおいなる
	T	おお	巨きい	おおきい
	T	おお	巨頭	おおあたま
MISSING_CANDIDATE	巨	ごん	8
	T	ごん	夢巨頭	ゆめごんどう
	T	ごん	巨頭鯨	ごんどうくじら
	T	ごん	数歯巨頭	かずはごんどう
	T	ごん	沖巨頭	おきごんどう
	T	ごん	河巨頭	かわごんどう
MISSING_CANDIDATE	巾	ぎん	3
	T	ぎん	砂巾着	すなぎんちゃく
	T	ぎん	磯巾着	いそぎんちゃく
	T	ぎん	腰巾着	こしぎんちゃく
MISSING_CANDIDATE	巾	はば	16
	T	はば	並巾	なみはば
	T	はば	値巾	ねはば
	T	はば	半巾	はんはば
	T	はば	大巾	おおはば
	T	はば	巾	はば
MISSING_CANDIDATE	巾	べき	5
	T	べき	巾	べき
	T	べき	巾単	べきたん
	T	べき	巾集合	べきしゅうごう
	T	べき	巾零	べきれい
	T	べき	巾零元	べきれいげん
MISSING_CANDIDATE	帆	ぱん	3
	T	ぱん	出帆	しゅっぱん
	T	ぱん	満帆	まんぱん
	T	ぱん	順風満帆	じゅんぷうまんぱん
MISSING_CANDIDATE	幅	の	3
	T	の	一幅	ひとの
	T	の	二幅	ふたの
	T	の	幅	の
MISSING_CANDIDATE	幣	ぺい	5
	T	ぺい	別格官幣社	べっかくかんぺいしゃ
	T	ぺい	官幣中社	かんぺいちゅうしゃ
	T	ぺい	官幣大社	かんぺいたいしゃ
	T	ぺい	官幣小社	かんぺいしょうしゃ
	T	ぺい	官幣社	かんぺいしゃ
MISSING_CANDIDATE	廉	かど	3
	T	かど	一廉	いっかど
	T	かど	一廉	ひとかど
	T	かど	廉	かど
MISSING_CANDIDATE	弥	よ	4
	T	よ	弥	よ
	T	よ	弥立つ	よだつ
	T	よ	身の毛が弥立つ	みのけがよだつ
	T	よ	身の毛の弥立つ	みのけのよだつ
MISSING_CANDIDATE	弾	はじき	4
	T	はじき	弾音	はじきおん
	T	はじき	御弾	おはじき
	T	はじき	爪弾	つまはじき
MISSING_CANDIDATE	弾	ひき	5
	T	ひき	三味線弾	さみせんひき
	T	ひき	三味線弾	しゃみせんひき
	T	ひき	弾物	ひきもの
	T	ひき	弾語り	ひきがたり
	T	ひき	弾鳴らす	ひきならす
MISSING_CANDIDATE	弾	びき	3
	T	びき	早弾	はやびき
	T	びき	曲弾	きょくびき
	T	びき	速弾	はやびき
MISSING_CANDIDATE	彼	あ	11
	T	あ	彼の	あの
	T	あ	彼のさん	あのさん
	T	あ	彼の世	あのよ
	T	あ	彼の人	あのひと
	T	あ	彼の娘	あのこ
MISSING_CANDIDATE	彼	あれ	9
	T	あれ	彼	あれ
	T	あれ	彼や是や	あれやこれや
	T	あれ	彼ら	あれら
	T	あれ	彼式	あれしき
	T	あれ	彼是	あれこれ
MISSING_CANDIDATE	彼	かん	3
	T	かん	何だ彼だ	なんだかんだ
	T	かん	何とか彼とか	なんとかかんとか
	T	かん	彼とか	かんとか
MISSING_CANDIDATE	微	ほほ	7
	T	ほほ	微笑ましい	ほほえましい
	T	ほほ	微笑み	ほほえみ
	T	ほほ	微笑みかける	ほほえみかける
	T	ほほ	微笑み外交	ほほえみがいこう
	T	ほほ	微笑み掛ける	ほほえみかける
MISSING_CANDIDATE	微	み	14
	T	み	こっぱ微塵	こっぱみじん
	T	み	剣微塵子	けんみじんこ
	T	み	微塵	みじん
	T	み	微塵切り	みじんぎり
	T	み	微塵子	みじんこ
MISSING_CANDIDATE	徹	とお	6
	T	とお	徹す	とおす
	T	とお	徹る	とおる
	T	とお	思う念力岩をも徹す	おもうねんりきいわをもとおす
	T	とお	透き徹す	すきとおす
	T	とお	透き徹る	すきとおる
MISSING_CANDIDATE	忍	しのび	6
	T	しのび	忍	しのび
	T	しのび	忍会	しのびあい
	T	しのび	忍手	しのびて
	T	しのび	忍手	しのびで
	T	しのび	忍込む	しのびこむ
MISSING_CANDIDATE	怖	おじ	10
	T	おじ	怖ける	おじける
	T	おじ	怖気	おじけ
	T	おじ	怖気つく	おじけつく
	T	おじ	怖気づく	おじけづく
	T	おじ	怖気をふるう	おじけをふるう
MISSING_CANDIDATE	怖	おぞ	5
	T	おぞ	怖気	おぞけ
	T	おぞ	怖気をふるう	おぞけをふるう
	T	おぞ	怖気を振るう	おぞけをふるう
	T	おぞ	怖気を震う	おぞけをふるう
	T	おぞ	怖気立つ	おぞけだつ
MISSING_CANDIDATE	怠	だる	5
	T	だる	怠い	だるい
	T	だる	気怠い	けだるい
	T	だる	間怠い	まだるい
	T	だる	間怠っこい	まだるっこい
	T	だる	間怠っこしい	まだるっこしい
MISSING_CANDIDATE	恥	はず	3
	T	はず	心恥かしい	うらはずかしい
	T	はず	恥かしい	はずかしい
	T	はず	気恥かしい	きはずかしい
MISSING_CANDIDATE	悔	げ	5
	T	げ	一億総懺悔	いちおくそうざんげ
	T	げ	懺悔	さんげ
	T	げ	懺悔	ざんげ
	T	げ	懺悔室	ざんげしつ
	T	げ	懺悔録	ざんげろく
MISSING_CANDIDATE	患	うれ	7
	T	うれ	備えあれば患いなし	そなえあればうれいなし
	T	うれ	備えあれば患い無し	そなえあればうれいなし
	T	うれ	患い	うれい
	T	うれ	患え	うれえ
	T	うれ	患える	うれえる
MISSING_CANDIDATE	惜	おし	3
	T	おし	一文惜み	いちもんおしみ
	T	おし	惜気	おしげ
	T	おし	惜気もなく	おしげもなく
MISSING_CANDIDATE	慎	じん	3
	T	じん	火廼要慎	ひのようじん
	T	じん	火迺要慎	ひのようじん
	T	じん	要慎	ようじん
MISSING_CANDIDATE	慶	きょう	4
	T	きょう	嘉慶	かきょう
	T	きょう	天慶	てんきょう
	T	きょう	慶雲	きょううん
	T	きょう	正慶	しょうきょう
MISSING_CANDIDATE	慶	ぎょう	3
	T	ぎょう	元慶	がんぎょう
	T	ぎょう	天慶	てんぎょう
	T	ぎょう	延慶	えんぎょう
MISSING_CANDIDATE	憂	うき	4
	T	うき	仮の憂世	かりのうきよ
	T	うき	憂世	うきよ
	T	うき	憂目	うきめ
	T	うき	憂身	うきみ
MISSING_CANDIDATE	憶	おぼ	4
	T	おぼ	うる憶え	うるおぼえ
	T	おぼ	うろ憶え	うろおぼえ
	T	おぼ	憶える	おぼえる
	T	おぼ	見憶え	みおぼえ
MISSING_CANDIDATE	懸	かか	9
	T	かか	倚り懸る	よりかかる
	T	かか	出懸る	でかかる
	T	かか	引っ懸り	ひっかかり
	T	かか	懸り	かかり
	T	かか	懸る	かかる
MISSING_CANDIDATE	懸	がい	3
	T	がい	三懸	さんがい
	T	がい	胸懸	むながい
	T	がい	面懸	おもがい
MISSING_CANDIDATE	懸	がか	6
	T	がか	手懸り	てがかり
	T	がか	橋懸り	はしがかり
	T	がか	気懸り	きがかり
	T	がか	相懸り	あいがかり
	T	がか	神懸り	かみがかり
MISSING_CANDIDATE	懸	がけ	4
	T	がけ	弓懸	ゆがけ
	T	がけ	懸	がけ
	T	がけ	笠懸	かさがけ
	T	がけ	袈裟懸	けさがけ
MISSING_CANDIDATE	戯	おど	6
	T	おど	戯け	おどけ
	T	おど	戯ける	おどける
	T	おど	戯け口	おどけぐち
	T	おど	戯け者	おどけもの
	T	おど	戯け芝居	おどけしばい
MISSING_CANDIDATE	戯	じゃら	3
	T	じゃら	戯かす	じゃらかす
	T	じゃら	戯す	じゃらす
	T	じゃら	戯つく	じゃらつく
MISSING_CANDIDATE	戯	たわ	6
	T	たわ	戯け	たわけ
	T	たわ	戯ける	たわける
